Strategy,Cash flow at top 1% prices AUD,Cash flow at negative prices AUD
Threshold (lagged),2303791.3737531914,1394713.818587234
Forecast optimisation,14192698.54828085,3305604.8671063837
Perfect foresight,31112265.755425528,8618704.409506384
