Strategy,Gross Margin AUD,Cycling Cost AUD,Net Margin AUD,Energy Bought MWh,Energy Sold MWh,Internal Charged MWh,Internal Discharged MWh,EFC,Initial SOC MWh,Final SOC MWh,Net AUD per MW,Net AUD per Usable MWh,Hours
Threshold (lagged),14338713.16519787,0.0,14338713.16519787,64488.82978723405,56982.33,60619.5,60619.50000000001,378.87187500000005,100.0,100.0,143387.1316519787,89616.95728248669,14424.0
Forecast optimisation,27739828.332908504,0.0,27739828.332908504,444626.59574468085,392872.05999999994,417949.0,417948.99999999994,2612.1812499999996,100.0,100.0,277398.28332908504,173373.92708067814,14424.0
Perfect foresight,66974541.35974467,0.0,66974541.35974467,476573.40425531915,421100.26,447979.0,447979.00000000006,2799.8687499999996,100.0,100.0,669745.4135974466,418590.8834984042,14424.0
