Scenario,Strategy,Gross Margin AUD,Cycling Cost AUD,Net Margin AUD,Energy Bought MWh,Energy Sold MWh,Internal Charged MWh,Internal Discharged MWh,EFC,Initial SOC MWh,Final SOC MWh,Net AUD per MW,Net AUD per Usable MWh,Hours
Original,Forecast optimisation,1490668.464804255,0.0,1490668.464804255,76555.85106382979,67644.75,71962.5,71962.5,449.765625,100.0,100.0,14906.68464804255,9316.677905026594,2160.0
Efficiency 90% each way,Forecast optimisation,1376971.6197222217,0.0,1376971.6197222217,73293.33333333334,59367.6,65964.00000000001,65964.0,412.2750000000001,100.0,100.00000000000227,13769.716197222217,8606.072623263886,2160.0
Efficiency 98% each way,Forecast optimisation,1670082.6733918365,0.0,1670082.6733918365,87435.20408163265,83972.76999999999,85686.5,85686.49999999999,535.540625,100.0,100.0,16700.826733918366,10438.016708698979,2160.0
SOC window 20–80%,Forecast optimisation,1199424.5439361697,0.0,1199424.5439361697,73420.74468085106,64874.57,69015.49999999999,69015.5,575.1291666666666,100.0,100.0,11994.245439361697,9995.204532801414,2160.0
SOC window 5–95%,Forecast optimisation,1772255.0130085102,0.0,1772255.0130085102,77867.02127659574,68803.29999999999,73194.99999999999,73194.99999999999,406.63888888888886,100.0,100.0,17722.550130085103,9845.861183380612,2160.0
Cycling cost $10/MWh,Forecast optimisation,1757590.072365957,512915.0,1244675.072365957,54565.425531914894,48214.009999999995,51291.5,51291.5,320.571875,100.0,100.0,12446.75072365957,7779.219202287231,2160.0
Cycling cost $30/MWh,Forecast optimisation,1660801.1090553189,930540.0,730261.1090553189,32997.87234042553,29156.92,31017.999999999996,31018.0,193.8625,100.0,100.0,7302.611090553189,4564.131931595743,2160.0
